z_m,Bx_T,By_T,Bz_T
1.700000000000000122e-04,7.216658475866897799e-12,4.969378823304994940e-10,9.645629400466483439e-06
1.750000000000000253e-04,7.424995196117576119e-12,5.112992099195416709e-10,9.643250183206348116e-06
1.800000000000000384e-04,7.632994025143046582e-12,5.256385788643355495e-10,9.640803032021739177e-06
1.850000000000000516e-04,7.840645706264616887e-12,5.399553860727923346e-10,9.638288034449361260e-06
1.900000000000000647e-04,8.047941015745855830e-12,5.542490304767832292e-10,9.635705280400165906e-06
1.950000000000000778e-04,8.254870763814988548e-12,5.685189130842354767e-10,9.633054862151743509e-06
2.000000000000000909e-04,8.461425795524543964e-12,5.827644370308763337e-10,9.630336874340747456e-06
2.050000000000001040e-04,8.667596991384458151e-12,5.969850076319060090e-10,9.627551413954898131e-06
2.100000000000001171e-04,8.873375268428103347e-12,6.111800324331058447e-10,9.624698580324875122e-06
2.150000000000001302e-04,9.078751580930797714e-12,6.253489212615071617e-10,9.621778475116136571e-06
2.200000000000001434e-04,9.283716921154578080e-12,6.394910862761699123e-10,9.618791202320301466e-06
2.250000000000001565e-04,9.488262320308660031e-12,6.536059420180308592e-10,9.615736868246613236e-06
2.300000000000001696e-04,9.692378849250576877e-12,6.676929054596524922e-10,9.612615581513074713e-06
2.350000000000001827e-04,9.896057619375088615e-12,6.817513960547948245e-10,9.609427453037381483e-06
2.399999999999999790e-04,1.009928978331066801e-11,6.957808357871107922e-10,9.606172596027780713e-06
2.449999999999999921e-04,1.030206653573210214e-11,7.097806492188511654e-10,9.602851125973611482e-06
2.500000000000000052e-04,1.050437911421900249e-11,7.237502635391789269e-10,9.599463160635879003e-06
2.550000000000000183e-04,1.070621879991558487e-11,7.376891086116277263e-10,9.596008820037324003e-06
2.600000000000000314e-04,1.090757691831866236e-11,7.515966170217473795e-10,9.592488226452683544e-06
2.650000000000000445e-04,1.110844484010854823e-11,7.654722241239939459e-10,9.588901504398509684e-06
2.700000000000000577e-04,1.130881398187687147e-11,7.793153680880610454e-10,9.585248780622915296e-06
2.750000000000000708e-04,1.150867580683826233e-11,7.931254899452451926e-10,9.581530184095182669e-06
2.800000000000000839e-04,1.170802182546469645e-11,8.069020336339018532e-10,9.577745845995111221e-06
2.850000000000000970e-04,1.190684359649072608e-11,8.206444460447416471e-10,9.573895899702295756e-06
2.900000000000001101e-04,1.210513272735157562e-11,8.343521770655150595e-10,9.569980480785135363e-06
2.950000000000001232e-04,1.230288087506553657e-11,8.480246796253007241e-10,9.565999726989788109e-06
3.000000000000001363e-04,1.250007974678745471e-11,8.616614097384566314e-10,9.561953778228858068e-06
3.050000000000001495e-04,1.269672110078749157e-11,8.752618265479344071e-10,9.557842776569999333e-06
3.100000000000001626e-04,1.289279674680867328e-11,8.888253923680808430e-10,9.553666866224309979e-06
3.150000000000001757e-04,1.308829854678188477e-11,9.023515727271086577e-10,9.549426193534607426e-06
3.200000000000001888e-04,1.328321841592808800e-11,9.158398364091509797e-10,9.545120906963517468e-06
3.249999999999999851e-04,1.347754832284641660e-11,9.292896554955021942e-10,9.540751157081400660e-06
3.299999999999999982e-04,1.367128029043689593e-11,9.427005054056029854e-10,9.536317096554173679e-06
3.350000000000000113e-04,1.386440639660799265e-11,9.560718649375816985e-10,9.531818880130912155e-06
3.400000000000000244e-04,1.405691877486298240e-11,9.694032163080129826e-10,9.527256664631377257e-06
3.450000000000000375e-04,1.424880961484164969e-11,9.826940451916523424e-10,9.522630608933340695e-06
3.500000000000000507e-04,1.444007116292381955e-11,9.959438407599536999e-10,9.517940873959787748e-06
3.550000000000000638e-04,1.463069572303637562e-11,1.009152095719697695e-09,9.513187622665933939e-06
3.600000000000000769e-04,1.482067565715194668e-11,1.022318306350821136e-09,9.508371020026201061e-06
3.650000000000000900e-04,1.501000338576412190e-11,1.035441972543681280e-09,9.503491233020905203e-06
3.700000000000001031e-04,1.519867138862798425e-11,1.048522597835876331e-09,9.498548430622956641e-06
3.750000000000001162e-04,1.538667220528702461e-11,1.061559689448728859e-09,9.493542783784337803e-06
3.800000000000001293e-04,1.557399843561391106e-11,1.074552758322493504e-09,9.488474465422449099e-06
3.850000000000001425e-04,1.576064274027970707e-11,1.087501319151978474e-09,9.483343650406302283e-06
3.900000000000001556e-04,1.594659784160007731e-11,1.100404890421042700e-09,9.478150515542717205e-06
3.950000000000001687e-04,1.613185652370630719e-11,1.113262994436725927e-09,9.472895239562169583e-06
4.000000000000001818e-04,1.631641163340453678e-11,1.126075157362276589e-09,9.467578003104713317e-06
4.050000000000001949e-04,1.650025608025682445e-11,1.138840909251112538e-09,9.462198988705692736e-06
4.099999999999999912e-04,1.668338283767571365e-11,1.151559784078147611e-09,9.456758380781270194e-06
4.150000000000000043e-04,1.686578494290996404e-11,1.164231319772161070e-09,9.451256365613968911e-06
4.200000000000000174e-04,1.704745549771312023e-11,1.176855058247100393e-09,9.445693131337976953e-06
4.250000000000000305e-04,1.722838766907246466e-11,1.189430545432405713e-09,9.440068867924473231e-06
4.300000000000000436e-04,1.740857468903013983e-11,1.201957331303244511e-09,9.434383767166580807e-06
4.350000000000000568e-04,1.758800985606205836e-11,1.214434969910380487e-09,9.428638022664555680e-06
4.400000000000000699e-04,1.776668653454271715e-11,1.226863019408570672e-09,9.422831829810582541e-06
4.450000000000000830e-04,1.794459815602484576e-11,1.239241042085235505e-09,9.416965385773560368e-06
4.500000000000000961e-04,1.812173821903405886e-11,1.251568604388285607e-09,9.411038889483881246e-06
4.550000000000001092e-04,1.829810029008546117e-11,1.263845276952959651e-09,9.405052541617889002e-06
4.600000000000001223e-04,1.847367800338338091e-11,1.276070634628732550e-09,9.399006544582427634e-06
4.650000000000001354e-04,1.864846506189070755e-11,1.288244256505220686e-09,9.392901102499206777e-06
4.700000000000001486e-04,1.882245523719406134e-11,1.300365725937625158e-09,9.386736421189072297e-06
4.750000000000001617e-04,1.899564237047097429e-11,1.312434630571262856e-09,9.380512708156183720e-06
4.800000000000001748e-04,1.916802037214867810e-11,1.324450562366216238e-09,9.374230172572125587e-06
4.850000000000001879e-04,1.933958322280014761e-11,1.336413117620718967e-09,9.367889025259895140e-06
4.900000000000002010e-04,1.951032497331512039e-11,1.348321896993925502e-09,9.361489478677798536e-06
4.949999999999999973e-04,1.968023974511412969e-11,1.360176505528794432e-09,9.355031746903280985e-06
5.000000000000000104e-04,1.984932173076744237e-11,1.371976552673537890e-09,9.348516045616662025e-06
5.050000000000000235e-04,2.001756519399319771e-11,1.383721652302963225e-09,9.341942592084769150e-06
5.100000000000000366e-04,2.018496447023291836e-11,1.395411422738967434e-09,9.335311605144584995e-06
5.150000000000000498e-04,2.035151396688229368e-11,1.407045486770616977e-09,9.328623305186623462e-06
5.200000000000000629e-04,2.051720816318571428e-11,1.418623471673644830e-09,9.321877914138449852e-06
5.250000000000000760e-04,2.068204161120469364e-11,1.430145009228822793e-09,9.315075655447935021e-06
5.300000000000000891e-04,2.084600893583213705e-11,1.441609735740768887e-09,9.308216754066626431e-06
5.350000000000001022e-04,2.100910483435724457e-11,1.453017292054545971e-09,9.301301436432817652e-06
5.400000000000001153e-04,2.117132407796498269e-11,1.464367323573867373e-09,9.294329930454851653e-06
5.450000000000001284e-04,2.133266151099327614e-11,1.475659480276190653e-09,9.287302465494000570e-06
5.500000000000001416e-04,2.149311205153788371e-11,1.486893416729566247e-09,9.280219272347614830e-06
5.550000000000001547e-04,2.165267069151567759e-11,1.498068792106774183e-09,9.273080583231963964e-06
5.600000000000001678e-04,2.181133249685861719e-11,1.509185270200605835e-09,9.265886631765194297e-06
5.650000000000001809e-04,2.196909260829936393e-11,1.520242519437438986e-09,9.258637652950107077e-06
5.700000000000001940e-04,2.212594624059559268e-11,1.531240212890568054e-09,9.251333883156960322e-06
5.750000000000002071e-04,2.228188868331291810e-11,1.542178028292903174e-09,9.243975560106146988e-06
5.800000000000000034e-04,2.243691530083378695e-11,1.553055648049419473e-09,9.236562922850895176e-06
5.850000000000000165e-04,2.259102153280870501e-11,1.563872759247858720e-09,9.229096211759885317e-06
5.900000000000000296e-04,2.274420289335139044e-11,1.574629053670612187e-09,9.221575668499799601e-06
5.950000000000000427e-04,2.289645497254941229e-11,1.585324227804180910e-09,9.214001536017879873e-06
6.000000000000000559e-04,2.304777343544882636e-11,1.595957982849571486e-09,9.206374058524382197e-06
6.050000000000000690e-04,2.319815402284144428e-11,1.606530024730722148e-09,9.198693481475053431e-06
6.100000000000000821e-04,2.334759255099413876e-11,1.617040064103618090e-09,9.190960051553534972e-06
6.150000000000000952e-04,2.349608491191230049e-11,1.627487816363753049e-09,9.183174016653725832e-06
6.200000000000001083e-04,2.364362707339319139e-11,1.637873001653573724e-09,9.175335625862105060e-06
