r_m,Bx_T,By_T,Bz_T,Brho_xy_T_z_probe
2.142374999999999748e-03,9.136911931430649146e-09,1.198670774925246767e-11,1.523295075294054598e-05,9.136919794103613671e-09
2.145999999999999904e-03,9.201284181554061339e-09,1.205743845068558842e-11,1.526620355526593439e-05,9.201292081633914911e-09
2.149624999999999626e-03,9.266319635471312248e-09,1.212889983349121098e-11,1.529969112842164054e-05,9.266327573366503417e-09
2.153249999999999782e-03,9.332027792832634886e-09,1.220110223836867440e-11,1.533341589782271546e-05,9.332035768957198983e-09
2.156874999999999938e-03,9.398418326992471901e-09,1.227405619391457656e-11,1.536738032372763382e-05,9.398426341766126987e-09
2.160499999999999660e-03,9.465501088901363664e-09,1.234777242080179403e-11,1.540158690187743961e-05,9.465509142749621371e-09
2.164124999999999816e-03,9.533286111101445692e-09,1.242226183607068832e-11,1.543603816414922862e-05,9.533294204455710488e-09
2.167749999999999972e-03,9.601783611828589512e-09,1.249753555752961139e-11,1.547073667922465063e-05,9.601791745126276159e-09
2.171374999999999694e-03,9.671003999224950620e-09,1.257360490828221703e-11,1.550568505327323116e-05,9.671012172909585091e-09
2.174999999999999850e-03,9.740957875664860046e-09,1.265048142136307955e-11,1.554088593065152603e-05,9.740966090186201947e-09
2.178624999999999572e-03,9.811656042197920784e-09,1.272817684451032882e-11,1.557634199461804768e-05,9.811664298012074197e-09
2.182249999999999728e-03,9.883109503112975175e-09,1.280670314505603897e-11,1.561205596806480007e-05,9.883117800682507768e-09
2.185874999999999884e-03,9.955329470626586116e-09,1.288607251495734284e-11,1.564803061426549001e-05,9.955337810420653228e-09
2.189499999999999606e-03,1.002832736970021436e-08,1.296629737595877088e-11,1.568426873764120426e-05,1.002833575219468141e-08
2.193124999999999762e-03,1.010211484299007224e-08,1.304739038489983613e-11,1.572077318454384050e-05,1.010212326866764214e-08
2.196749999999999918e-03,1.017670375593382456e-08,1.312936443916551306e-11,1.575754684405783753e-05,1.017671222528416507e-08
2.200374999999999640e-03,1.025210620197874062e-08,1.321223268228651695e-11,1.579459264882070288e-05,1.025211471549862332e-08
2.203999999999999796e-03,1.032833450795578739e-08,1.329600850969583143e-11,1.583191357586287310e-05,1.032834306614921674e-08
2.207624999999999952e-03,1.040540123960418023e-08,1.338070557464587230e-11,1.586951264746742845e-05,1.040540984298253749e-08
